geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows,policy,policy_type
51,30,-78.66634949,37.5108731,-109.645207,47.03342111,03/16/20 - 03/22/20,113,2335,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,31,-78.66634949,37.5108731,-99.81085586,41.52715113,03/16/20 - 03/22/20,179,3698,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,32,-78.66634949,37.5108731,-116.6552487,39.35618587,03/16/20 - 03/22/20,613,12667,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,33,-78.66634949,37.5108731,-71.57124317,43.68023706,03/16/20 - 03/22/20,175,3616,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,34,-78.66634949,37.5108731,-74.65561231,40.11017985,03/16/20 - 03/22/20,2262,46742,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,35,-78.66634949,37.5108731,-106.1084439,34.42130099,03/16/20 - 03/22/20,469,9691,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,36,-78.66634949,37.5108731,-75.59654322,42.92123355,03/16/20 - 03/22/20,2893,59781,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,37,-78.66634949,37.5108731,-79.13090892,35.52603039,03/16/20 - 03/22/20,21949,453556,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,38,-78.66634949,37.5108731,-100.4693908,47.44631042,03/16/20 - 03/22/20,52,1074,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,39,-78.66634949,37.5108731,-82.70937701,40.41548691,03/16/20 - 03/22/20,2428,50172,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,40,-78.66634949,37.5108731,-97.50822793,35.58346465,03/16/20 - 03/22/20,606,12522,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,41,-78.66634949,37.5108731,-120.6052563,43.94045139,03/16/20 - 03/22/20,192,3967,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,42,-78.66634949,37.5108731,-77.83893801,40.89670051,03/16/20 - 03/22/20,5513,113921,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,44,-78.66634949,37.5108731,-71.52472356,41.5946389,03/16/20 - 03/22/20,157,3244,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,45,-78.66634949,37.5108731,-80.86459716,33.87785607,03/16/20 - 03/22/20,6882,142210,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,46,-78.66634949,37.5108731,-100.2033536,44.44664208,03/16/20 - 03/22/20,28,578,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,47,-78.66634949,37.5108731,-86.34341233,35.84298014,03/16/20 - 03/22/20,13513,279234,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,48,-78.66634949,37.5108731,-99.31712097,31.44721219,03/16/20 - 03/22/20,4155,85859,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,49,-78.66634949,37.5108731,-111.67825,39.32376871,03/16/20 - 03/22/20,404,8348,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,50,-78.66634949,37.5108731,-72.66263037,44.07524823,03/16/20 - 03/22/20,103,2128,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,51,-78.66634949,37.5108731,-78.66634949,37.5108731,03/16/20 - 03/22/20,1970630,40721324,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,53,-78.66634949,37.5108731,-120.5928999,47.41163922,03/16/20 - 03/22/20,279,5765,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,54,-78.66634949,37.5108731,-80.6137069,38.6425671,03/16/20 - 03/22/20,6444,133159,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,55,-78.66634949,37.5108731,-89.73293306,44.63994411,03/16/20 - 03/22/20,546,11282,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,56,-78.66634949,37.5108731,-107.5513942,42.99953746,03/16/20 - 03/22/20,156,3223,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,72,-78.66634949,37.5108731,-66.41466678,18.21569834,03/16/20 - 03/22/20,69,1425,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
1,51,-86.844521,32.75687994,-78.66634949,37.5108731,03/16/20 - 03/22/20,1993,24600,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
2,51,-151.2505488,63.78846948,-78.66634949,37.5108731,03/16/20 - 03/22/20,52,1670,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
4,51,-111.6644603,34.29309519,-78.66634949,37.5108731,03/16/20 - 03/22/20,676,13175,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
5,51,-92.43923686,34.89977242,-78.66634949,37.5108731,03/16/20 - 03/22/20,541,7654,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
6,51,-119.6638459,37.21530826,-78.66634949,37.5108731,03/16/20 - 03/22/20,1812,47689,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
8,51,-105.5478211,38.9985316,-78.66634949,37.5108731,03/16/20 - 03/22/20,639,13206,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
9,51,-72.73825768,41.57516415,-78.66634949,37.5108731,03/16/20 - 03/22/20,909,22481,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
10,51,-75.45249263,38.99497529,-78.66634949,37.5108731,03/16/20 - 03/22/20,1122,23081,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
11,51,-77.0162909,38.90477389,-78.66634949,37.5108731,03/16/20 - 03/22/20,7592,205402,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
12,51,-82.46641839,28.47705841,-78.66634949,37.5108731,03/16/20 - 03/22/20,10941,162247,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
13,51,-83.42714021,32.63861711,-78.66634949,37.5108731,03/16/20 - 03/22/20,4592,70046,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
15,51,-158.1099738,20.9951112,-78.66634949,37.5108731,03/16/20 - 03/22/20,108,2477,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
16,51,-114.659414,44.38905509,-78.66634949,37.5108731,03/16/20 - 03/22/20,65,1339,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
17,51,-89.14863899,40.12420083,-78.66634949,37.5108731,03/16/20 - 03/22/20,1737,32902,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
18,51,-86.28183839,39.91986962,-78.66634949,37.5108731,03/16/20 - 03/22/20,1233,21388,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
19,51,-93.50009012,42.07464833,-78.66634949,37.5108731,03/16/20 - 03/22/20,634,9670,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
20,51,-98.3801554,38.48472707,-78.66634949,37.5108731,03/16/20 - 03/22/20,552,7419,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
21,51,-85.29055223,37.52661417,-78.66634949,37.5108731,03/16/20 - 03/22/20,2000,35737,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
22,51,-91.81423318,30.9090729,-78.66634949,37.5108731,03/16/20 - 03/22/20,663,10291,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
23,51,-69.20275986,45.27432853,-78.66634949,37.5108731,03/16/20 - 03/22/20,362,10258,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
24,51,-76.68717734,38.94649396,-78.66634949,37.5108731,03/16/20 - 03/22/20,36851,820255,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
25,51,-71.50397204,42.16009327,-78.66634949,37.5108731,03/16/20 - 03/22/20,1225,32717,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
26,51,-85.73095291,44.8747736,-78.66634949,37.5108731,03/16/20 - 03/22/20,947,18785,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
27,51,-94.1983056,46.34911038,-78.66634949,37.5108731,03/16/20 - 03/22/20,473,8944,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
28,51,-89.65335941,32.71289227,-78.66634949,37.5108731,03/16/20 - 03/22/20,726,10388,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
29,51,-92.4774252,38.36763044,-78.66634949,37.5108731,03/16/20 - 03/22/20,1117,17193,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
30,51,-109.645207,47.03342111,-78.66634949,37.5108731,03/16/20 - 03/22/20,71,1810,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
31,51,-99.81085586,41.52715113,-78.66634949,37.5108731,03/16/20 - 03/22/20,184,2793,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
32,51,-116.6552487,39.35618587,-78.66634949,37.5108731,03/16/20 - 03/22/20,215,4406,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
33,51,-71.57124317,43.68023706,-78.66634949,37.5108731,03/16/20 - 03/22/20,388,8688,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
34,51,-74.65561231,40.11017985,-78.66634949,37.5108731,03/16/20 - 03/22/20,3822,81929,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
35,51,-106.1084439,34.42130099,-78.66634949,37.5108731,03/16/20 - 03/22/20,76,1851,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
36,51,-75.59654322,42.92123355,-78.66634949,37.5108731,03/16/20 - 03/22/20,5370,124677,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
37,51,-79.13090892,35.52603039,-78.66634949,37.5108731,03/16/20 - 03/22/20,32867,565547,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
38,51,-100.4693908,47.44631042,-78.66634949,37.5108731,03/16/20 - 03/22/20,101,1786,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
39,51,-82.70937701,40.41548691,-78.66634949,37.5108731,03/16/20 - 03/22/20,3322,58762,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
40,51,-97.50822793,35.58346465,-78.66634949,37.5108731,03/16/20 - 03/22/20,638,8742,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
41,51,-120.6052563,43.94045139,-78.66634949,37.5108731,03/16/20 - 03/22/20,229,5360,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
42,51,-77.83893801,40.89670051,-78.66634949,37.5108731,03/16/20 - 03/22/20,8105,178569,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
44,51,-71.52472356,41.5946389,-78.66634949,37.5108731,03/16/20 - 03/22/20,270,6790,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
45,51,-80.86459716,33.87785607,-78.66634949,37.5108731,03/16/20 - 03/22/20,3760,57840,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
46,51,-100.2033536,44.44664208,-78.66634949,37.5108731,03/16/20 - 03/22/20,71,1357,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
47,51,-86.34341233,35.84298014,-78.66634949,37.5108731,03/16/20 - 03/22/20,11792,180905,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
48,51,-99.31712097,31.44721219,-78.66634949,37.5108731,03/16/20 - 03/22/20,4641,68022,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
49,51,-111.67825,39.32376871,-78.66634949,37.5108731,03/16/20 - 03/22/20,256,5187,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
50,51,-72.66263037,44.07524823,-78.66634949,37.5108731,03/16/20 - 03/22/20,134,4214,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,51,-78.66634949,37.5108731,-78.66634949,37.5108731,03/16/20 - 03/22/20,1970630,40721324,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
53,51,-120.5928999,47.41163922,-78.66634949,37.5108731,03/16/20 - 03/22/20,441,10304,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
54,51,-80.6137069,38.6425671,-78.66634949,37.5108731,03/16/20 - 03/22/20,17159,357448,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
55,51,-89.73293306,44.63994411,-78.66634949,37.5108731,03/16/20 - 03/22/20,581,11652,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
56,51,-107.5513942,42.99953746,-78.66634949,37.5108731,03/16/20 - 03/22/20,97,2172,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
72,51,-66.41466678,18.21569834,-78.66634949,37.5108731,03/16/20 - 03/22/20,64,2900,1,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues
51,1,-78.66634949,37.5108731,-86.844521,32.75687994,03/23/20 - 03/29/20,813,18092,1,Suspended Elective Medical Dental Procedures
51,2,-78.66634949,37.5108731,-151.2505488,63.78846948,03/23/20 - 03/29/20,8,178,1,Suspended Elective Medical Dental Procedures
51,4,-78.66634949,37.5108731,-111.6644603,34.29309519,03/23/20 - 03/29/20,613,13641,1,Suspended Elective Medical Dental Procedures
51,5,-78.66634949,37.5108731,-92.43923686,34.89977242,03/23/20 - 03/29/20,605,13463,1,Suspended Elective Medical Dental Procedures
51,6,-78.66634949,37.5108731,-119.6638459,37.21530826,03/23/20 - 03/29/20,1348,29998,1,Suspended Elective Medical Dental Procedures
51,8,-78.66634949,37.5108731,-105.5478211,38.9985316,03/23/20 - 03/29/20,428,9524,1,Suspended Elective Medical Dental Procedures
51,9,-78.66634949,37.5108731,-72.73825768,41.57516415,03/23/20 - 03/29/20,375,8345,1,Suspended Elective Medical Dental Procedures
51,10,-78.66634949,37.5108731,-75.45249263,38.99497529,03/23/20 - 03/29/20,658,14643,1,Suspended Elective Medical Dental Procedures
51,11,-78.66634949,37.5108731,-77.0162909,38.90477389,03/23/20 - 03/29/20,12781,284428,1,Suspended Elective Medical Dental Procedures
51,12,-78.66634949,37.5108731,-82.46641839,28.47705841,03/23/20 - 03/29/20,3972,88392,1,Suspended Elective Medical Dental Procedures
51,13,-78.66634949,37.5108731,-83.42714021,32.63861711,03/23/20 - 03/29/20,2832,63023,1,Suspended Elective Medical Dental Procedures
51,15,-78.66634949,37.5108731,-158.1099738,20.9951112,03/23/20 - 03/29/20,64,1424,1,Suspended Elective Medical Dental Procedures
51,16,-78.66634949,37.5108731,-114.659414,44.38905509,03/23/20 - 03/29/20,97,2158,1,Suspended Elective Medical Dental Procedures
51,17,-78.66634949,37.5108731,-89.14863899,40.12420083,03/23/20 - 03/29/20,1223,27216,1,Suspended Elective Medical Dental Procedures
51,18,-78.66634949,37.5108731,-86.28183839,39.91986962,03/23/20 - 03/29/20,900,20028,1,Suspended Elective Medical Dental Procedures
51,19,-78.66634949,37.5108731,-93.50009012,42.07464833,03/23/20 - 03/29/20,319,7099,1,Suspended Elective Medical Dental Procedures
51,20,-78.66634949,37.5108731,-98.3801554,38.48472707,03/23/20 - 03/29/20,307,6831,1,Suspended Elective Medical Dental Procedures
51,21,-78.66634949,37.5108731,-85.29055223,37.52661417,03/23/20 - 03/29/20,1938,43128,1,Suspended Elective Medical Dental Procedures
51,22,-78.66634949,37.5108731,-91.81423318,30.9090729,03/23/20 - 03/29/20,479,10659,1,Suspended Elective Medical Dental Procedures
51,23,-78.66634949,37.5108731,-69.20275986,45.27432853,03/23/20 - 03/29/20,65,1446,1,Suspended Elective Medical Dental Procedures
51,24,-78.66634949,37.5108731,-76.68717734,38.94649396,03/23/20 - 03/29/20,16645,370417,1,Suspended Elective Medical Dental Procedures
51,25,-78.66634949,37.5108731,-71.50397204,42.16009327,03/23/20 - 03/29/20,540,12017,1,Suspended Elective Medical Dental Procedures
51,26,-78.66634949,37.5108731,-85.73095291,44.8747736,03/23/20 - 03/29/20,409,9101,1,Suspended Elective Medical Dental Procedures
51,27,-78.66634949,37.5108731,-94.1983056,46.34911038,03/23/20 - 03/29/20,222,4940,1,Suspended Elective Medical Dental Procedures
51,28,-78.66634949,37.5108731,-89.65335941,32.71289227,03/23/20 - 03/29/20,379,8434,1,Suspended Elective Medical Dental Procedures
51,29,-78.66634949,37.5108731,-92.4774252,38.36763044,03/23/20 - 03/29/20,712,15844,1,Suspended Elective Medical Dental Procedures
51,30,-78.66634949,37.5108731,-109.645207,47.03342111,03/23/20 - 03/29/20,82,1824,1,Suspended Elective Medical Dental Procedures
51,31,-78.66634949,37.5108731,-99.81085586,41.52715113,03/23/20 - 03/29/20,220,4895,1,Suspended Elective Medical Dental Procedures
51,32,-78.66634949,37.5108731,-116.6552487,39.35618587,03/23/20 - 03/29/20,132,2937,1,Suspended Elective Medical Dental Procedures
51,33,-78.66634949,37.5108731,-71.57124317,43.68023706,03/23/20 - 03/29/20,102,2269,1,Suspended Elective Medical Dental Procedures
51,34,-78.66634949,37.5108731,-74.65561231,40.11017985,03/23/20 - 03/29/20,1558,34671,1,Suspended Elective Medical Dental Procedures
51,35,-78.66634949,37.5108731,-106.1084439,34.42130099,03/23/20 - 03/29/20,452,10058,1,Suspended Elective Medical Dental Procedures
51,36,-78.66634949,37.5108731,-75.59654322,42.92123355,03/23/20 - 03/29/20,1481,32958,1,Suspended Elective Medical Dental Procedures
51,37,-78.66634949,37.5108731,-79.13090892,35.52603039,03/23/20 - 03/29/20,16553,368370,1,Suspended Elective Medical Dental Procedures
51,38,-78.66634949,37.5108731,-100.4693908,47.44631042,03/23/20 - 03/29/20,54,1201,1,Suspended Elective Medical Dental Procedures
51,39,-78.66634949,37.5108731,-82.70937701,40.41548691,03/23/20 - 03/29/20,1934,43039,1,Suspended Elective Medical Dental Procedures
51,40,-78.66634949,37.5108731,-97.50822793,35.58346465,03/23/20 - 03/29/20,520,11572,1,Suspended Elective Medical Dental Procedures
51,41,-78.66634949,37.5108731,-120.6052563,43.94045139,03/23/20 - 03/29/20,170,3783,1,Suspended Elective Medical Dental Procedures
51,42,-78.66634949,37.5108731,-77.83893801,40.89670051,03/23/20 - 03/29/20,4030,89683,1,Suspended Elective Medical Dental Procedures
51,44,-78.66634949,37.5108731,-71.52472356,41.5946389,03/23/20 - 03/29/20,60,1335,1,Suspended Elective Medical Dental Procedures
51,45,-78.66634949,37.5108731,-80.86459716,33.87785607,03/23/20 - 03/29/20,3471,77243,1,Suspended Elective Medical Dental Procedures
51,46,-78.66634949,37.5108731,-100.2033536,44.44664208,03/23/20 - 03/29/20,64,1424,1,Suspended Elective Medical Dental Procedures
51,47,-78.66634949,37.5108731,-86.34341233,35.84298014,03/23/20 - 03/29/20,9416,209543,1,Suspended Elective Medical Dental Procedures
51,48,-78.66634949,37.5108731,-99.31712097,31.44721219,03/23/20 - 03/29/20,2704,60174,1,Suspended Elective Medical Dental Procedures
51,49,-78.66634949,37.5108731,-111.67825,39.32376871,03/23/20 - 03/29/20,277,6164,1,Suspended Elective Medical Dental Procedures
51,50,-78.66634949,37.5108731,-72.66263037,44.07524823,03/23/20 - 03/29/20,20,445,1,Suspended Elective Medical Dental Procedures
51,51,-78.66634949,37.5108731,-78.66634949,37.5108731,03/23/20 - 03/29/20,1750950,38965593,1,Suspended Elective Medical Dental Procedures
51,53,-78.66634949,37.5108731,-120.5928999,47.41163922,03/23/20 - 03/29/20,193,4295,1,Suspended Elective Medical Dental Procedures
51,54,-78.66634949,37.5108731,-80.6137069,38.6425671,03/23/20 - 03/29/20,4381,97494,1,Suspended Elective Medical Dental Procedures
51,55,-78.66634949,37.5108731,-89.73293306,44.63994411,03/23/20 - 03/29/20,380,8456,1,Suspended Elective Medical Dental Procedures
51,56,-78.66634949,37.5108731,-107.5513942,42.99953746,03/23/20 - 03/29/20,93,2069,1,Suspended Elective Medical Dental Procedures
51,72,-78.66634949,37.5108731,-66.41466678,18.21569834,03/23/20 - 03/29/20,8,178,1,Suspended Elective Medical Dental Procedures
1,51,-86.844521,32.75687994,-78.66634949,37.5108731,03/23/20 - 03/29/20,1354,17819,1,Suspended Elective Medical Dental Procedures
2,51,-151.2505488,63.78846948,-78.66634949,37.5108731,03/23/20 - 03/29/20,10,339,1,Suspended Elective Medical Dental Procedures
4,51,-111.6644603,34.29309519,-78.66634949,37.5108731,03/23/20 - 03/29/20,293,6148,1,Suspended Elective Medical Dental Procedures
5,51,-92.43923686,34.89977242,-78.66634949,37.5108731,03/23/20 - 03/29/20,552,8148,1,Suspended Elective Medical Dental Procedures
6,51,-119.6638459,37.21530826,-78.66634949,37.5108731,03/23/20 - 03/29/20,1127,32773,1,Suspended Elective Medical Dental Procedures
8,51,-105.5478211,38.9985316,-78.66634949,37.5108731,03/23/20 - 03/29/20,350,7677,1,Suspended Elective Medical Dental Procedures
9,51,-72.73825768,41.57516415,-78.66634949,37.5108731,03/23/20 - 03/29/20,637,17939,1,Suspended Elective Medical Dental Procedures
10,51,-75.45249263,38.99497529,-78.66634949,37.5108731,03/23/20 - 03/29/20,893,20543,1,Suspended Elective Medical Dental Procedures
11,51,-77.0162909,38.90477389,-78.66634949,37.5108731,03/23/20 - 03/29/20,5324,156863,1,Suspended Elective Medical Dental Procedures
12,51,-82.46641839,28.47705841,-78.66634949,37.5108731,03/23/20 - 03/29/20,5488,89872,1,Suspended Elective Medical Dental Procedures
13,51,-83.42714021,32.63861711,-78.66634949,37.5108731,03/23/20 - 03/29/20,4190,69254,1,Suspended Elective Medical Dental Procedures
15,51,-158.1099738,20.9951112,-78.66634949,37.5108731,03/23/20 - 03/29/20,84,2180,1,Suspended Elective Medical Dental Procedures
16,51,-114.659414,44.38905509,-78.66634949,37.5108731,03/23/20 - 03/29/20,36,815,1,Suspended Elective Medical Dental Procedures
17,51,-89.14863899,40.12420083,-78.66634949,37.5108731,03/23/20 - 03/29/20,1568,32507,1,Suspended Elective Medical Dental Procedures
18,51,-86.28183839,39.91986962,-78.66634949,37.5108731,03/23/20 - 03/29/20,962,18043,1,Suspended Elective Medical Dental Procedures
19,51,-93.50009012,42.07464833,-78.66634949,37.5108731,03/23/20 - 03/29/20,401,6502,1,Suspended Elective Medical Dental Procedures
20,51,-98.3801554,38.48472707,-78.66634949,37.5108731,03/23/20 - 03/29/20,289,4111,1,Suspended Elective Medical Dental Procedures
21,51,-85.29055223,37.52661417,-78.66634949,37.5108731,03/23/20 - 03/29/20,1795,33588,1,Suspended Elective Medical Dental Procedures
22,51,-91.81423318,30.9090729,-78.66634949,37.5108731,03/23/20 - 03/29/20,480,8244,1,Suspended Elective Medical Dental Procedures
23,51,-69.20275986,45.27432853,-78.66634949,37.5108731,03/23/20 - 03/29/20,311,9557,1,Suspended Elective Medical Dental Procedures
24,51,-76.68717734,38.94649396,-78.66634949,37.5108731,03/23/20 - 03/29/20,29387,724012,1,Suspended Elective Medical Dental Procedures
25,51,-71.50397204,42.16009327,-78.66634949,37.5108731,03/23/20 - 03/29/20,831,25016,1,Suspended Elective Medical Dental Procedures
26,51,-85.73095291,44.8747736,-78.66634949,37.5108731,03/23/20 - 03/29/20,786,17802,1,Suspended Elective Medical Dental Procedures
27,51,-94.1983056,46.34911038,-78.66634949,37.5108731,03/23/20 - 03/29/20,330,6671,1,Suspended Elective Medical Dental Procedures
28,51,-89.65335941,32.71289227,-78.66634949,37.5108731,03/23/20 - 03/29/20,542,8288,1,Suspended Elective Medical Dental Procedures
29,51,-92.4774252,38.36763044,-78.66634949,37.5108731,03/23/20 - 03/29/20,822,13883,1,Suspended Elective Medical Dental Procedures
30,51,-109.645207,47.03342111,-78.66634949,37.5108731,03/23/20 - 03/29/20,36,980,1,Suspended Elective Medical Dental Procedures
31,51,-99.81085586,41.52715113,-78.66634949,37.5108731,03/23/20 - 03/29/20,100,1570,1,Suspended Elective Medical Dental Procedures
32,51,-116.6552487,39.35618587,-78.66634949,37.5108731,03/23/20 - 03/29/20,141,3127,1,Suspended Elective Medical Dental Procedures
33,51,-71.57124317,43.68023706,-78.66634949,37.5108731,03/23/20 - 03/29/20,229,5703,1,Suspended Elective Medical Dental Procedures
34,51,-74.65561231,40.11017985,-78.66634949,37.5108731,03/23/20 - 03/29/20,2366,59640,1,Suspended Elective Medical Dental Procedures
35,51,-106.1084439,34.42130099,-78.66634949,37.5108731,03/23/20 - 03/29/20,96,2558,1,Suspended Elective Medical Dental Procedures
36,51,-75.59654322,42.92123355,-78.66634949,37.5108731,03/23/20 - 03/29/20,2931,81241,1,Suspended Elective Medical Dental Procedures
37,51,-79.13090892,35.52603039,-78.66634949,37.5108731,03/23/20 - 03/29/20,27822,511139,1,Suspended Elective Medical Dental Procedures
38,51,-100.4693908,47.44631042,-78.66634949,37.5108731,03/23/20 - 03/29/20,37,690,1,Suspended Elective Medical Dental Procedures
39,51,-82.70937701,40.41548691,-78.66634949,37.5108731,03/23/20 - 03/29/20,2473,47360,1,Suspended Elective Medical Dental Procedures
40,51,-97.50822793,35.58346465,-78.66634949,37.5108731,03/23/20 - 03/29/20,416,6017,1,Suspended Elective Medical Dental Procedures
41,51,-120.6052563,43.94045139,-78.66634949,37.5108731,03/23/20 - 03/29/20,87,2267,1,Suspended Elective Medical Dental Procedures
42,51,-77.83893801,40.89670051,-78.66634949,37.5108731,03/23/20 - 03/29/20,6319,155065,1,Suspended Elective Medical Dental Procedures
44,51,-71.52472356,41.5946389,-78.66634949,37.5108731,03/23/20 - 03/29/20,154,4170,1,Suspended Elective Medical Dental Procedures
45,51,-80.86459716,33.87785607,-78.66634949,37.5108731,03/23/20 - 03/29/20,2797,45848,1,Suspended Elective Medical Dental Procedures
46,51,-100.2033536,44.44664208,-78.66634949,37.5108731,03/23/20 - 03/29/20,56,1093,1,Suspended Elective Medical Dental Procedures
47,51,-86.34341233,35.84298014,-78.66634949,37.5108731,03/23/20 - 03/29/20,9216,152160,1,Suspended Elective Medical Dental Procedures
48,51,-99.31712097,31.44721219,-78.66634949,37.5108731,03/23/20 - 03/29/20,3533,57004,1,Suspended Elective Medical Dental Procedures
49,51,-111.67825,39.32376871,-78.66634949,37.5108731,03/23/20 - 03/29/20,179,3786,1,Suspended Elective Medical Dental Procedures
50,51,-72.66263037,44.07524823,-78.66634949,37.5108731,03/23/20 - 03/29/20,104,3781,1,Suspended Elective Medical Dental Procedures
51,51,-78.66634949,37.5108731,-78.66634949,37.5108731,03/23/20 - 03/29/20,1750950,38965593,1,Suspended Elective Medical Dental Procedures
53,51,-120.5928999,47.41163922,-78.66634949,37.5108731,03/23/20 - 03/29/20,291,7581,1,Suspended Elective Medical Dental Procedures
54,51,-80.6137069,38.6425671,-78.66634949,37.5108731,03/23/20 - 03/29/20,13548,313077,1,Suspended Elective Medical Dental Procedures
55,51,-89.73293306,44.63994411,-78.66634949,37.5108731,03/23/20 - 03/29/20,428,9545,1,Suspended Elective Medical Dental Procedures
56,51,-107.5513942,42.99953746,-78.66634949,37.5108731,03/23/20 - 03/29/20,40,947,1,Suspended Elective Medical Dental Procedures
72,51,-66.41466678,18.21569834,-78.66634949,37.5108731,03/23/20 - 03/29/20,48,3066,1,Suspended Elective Medical Dental Procedures
51,1,-78.66634949,37.5108731,-86.844521,32.75687994,03/30/20 - 04/05/20,604,14226,1,Shelter in Place
51,2,-78.66634949,37.5108731,-151.2505488,63.78846948,03/30/20 - 04/05/20,8,188,1,Shelter in Place
51,4,-78.66634949,37.5108731,-111.6644603,34.29309519,03/30/20 - 04/05/20,604,14226,1,Shelter in Place
51,5,-78.66634949,37.5108731,-92.43923686,34.89977242,03/30/20 - 04/05/20,508,11965,1,Shelter in Place
51,6,-78.66634949,37.5108731,-119.6638459,37.21530826,03/30/20 - 04/05/20,827,19479,1,Shelter in Place
51,8,-78.66634949,37.5108731,-105.5478211,38.9985316,03/30/20 - 04/05/20,308,7254,1,Shelter in Place
